id,frage,erwartete_quellen,kernaussage,typ,herkunft
1,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",passwort-zuruecksetzen.md,"Link ist 60 Minuten gültig, nur einmal nutzbar; neuen Link anfordern",einfach,mensch
2,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",preise-und-tarife.md,"Nein: aktuell 6,99 USD/Monat oder 59 USD/Jahr, keine Testphase",veraltet,mensch
3,Gibt es eine Testphase für Pro,preise-und-tarife.md,"Nein, eine Testphase wird nicht mehr angeboten, andere Info ist veraltet",veraltet,mensch
4,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,anmelden-mit-google.md,"Nein, nur Google und E-Mail/Passwort werden unterstützt",einfach,mensch
5,Wieviele Habits kann ich in der Pro Version tracken,habits-anlegen.md; preise-und-tarife.md,Unbeschränkt viele,einfach,mensch_korrigiert
6,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",fokus-timer.md,"Korrekt: Free läuft fest mit 25/5/15 Minuten, einstellbar (5–90 Min.) nur mit Pro",einfach,mensch
7,Gibt es Mengenrabatte,keine,"Dazu gibt es keine Information, Verweis an den Support",luecke,mensch_korrigiert
8,Kann ich Daten aus anderen Apps importieren,keine,"Dazu gibt es keine Information, Verweis an den Support",luecke,mensch_korrigiert
9,Wie kann ich 2FA einrichten,roadmap-faq.md; verdaechtige-anmeldungen.md,"Geht derzeit nicht, eigene 2FA ist geplant; wer sich mit Google anmeldet, ist über die 2FA des Google-Kontos geschützt",einfach,mensch_korrigiert
10,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",abo-kuendigen.md; erstattungen.md,"Kündigen: Pro läuft bis Ende des bezahlten Zeitraums, keine weitere Abbuchung. Geld zurück nur beim Jahresabo innerhalb von 14 Tagen (dann endet Pro sofort); Monatsabo wird nie erstattet",mehrquellen,mensch_korrigiert
11,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,passwort-zuruecksetzen.md,"Spam-Ordner prüfen, nur der zuletzt gesendete Link gilt, richtige Adresse prüfen; wer sich mit Google registriert hat, hat kein Passwort und nutzt ""Mit Google anmelden""",einfach,entwurf
12,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",anmelden-mit-google.md,"Ja: Google-Login hat ein separates neues Konto angelegt, Daten liegen im alten Konto; abmelden und mit der ursprünglichen Methode anmelden",einfach,entwurf
13,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",doppelte-abbuchung.md,"Oft nur Vormerkung, verschwindet in 3–5 Werktagen; danach über Einstellungen > Hilfe > Kontakt ""Zahlungsproblem melden"", wird vollständig erstattet; Store-Abos an Apple/Google",einfach,entwurf
14,"Fremder Login aus Vietnam in meinem Konto, ich hab eine mail von euch bekommen. Was soll ich jetzt tun?? da sind meine ganzen daten drin",verdaechtige-anmeldungen.md,"Passwort ändern, alle anderen Geräte abmelden, E-Mail-Konto sichern, security@focusflow.app informieren",einfach,entwurf
15,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",datenschutz-und-speicherort.md,"EU, Rechenzentrum in Frankfurt am Main, keine Übertragung in Drittländer",einfach,entwurf
16,"gibts eigentlich ein widget für android oder nur fürs iphone?",widgets.md,"Ja, Android ab Version 10 (Startbildschirm); Timer-Widget nur mit Pro",einfach,entwurf
