id,typ,herkunft,variante,frage,kernaussage,erwartete_quellen,antwort,zitiert,kontext_dateien,quellen_ok,kernaussage_ok,treu,luecke_ok,kernaussage_begruendung,treu_begruendung,luecke_begruendung,zitiert_veraltet,veraltet_gekennzeichnet,veraltet_begruendung,kosten_in_usd,kosten_cache_write_usd,kosten_cache_read_usd,kosten_out_usd,input_tokens,cache_write_tokens,cache_read_tokens,output_tokens,retrieval_s,llm_s,gesamt_s,alles_ok
1,einfach,mensch,articles,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?","Link ist 60 Minuten gültig, nur einmal nutzbar; neuen Link anfordern",passwort-zuruecksetzen.md,"Der Link ist **60 Minuten** gültig und kann nur einmal verwendet werden.

Da dein Link nicht mehr funktioniert, fordere einen neuen an: Gehe auf dem Anmeldebildschirm auf „Passwort vergessen?"" und gib deine E-Mail-Adresse erneut ein. Achte darauf, den Link diesmal innerhalb von 60 Minuten zu nutzen.

Quellen: passwort-zuruecksetzen.md",passwort-zuruecksetzen.md,passwort-zuruecksetzen.md; verdaechtige-anmeldungen.md; konten-zusammenfuehren.md,1,1,1,,"Die Antwort nennt die 60-Minuten-Gültigkeit, die einmalige Nutzbarkeit und den Hinweis, einen neuen Link anzufordern – damit ist die Soll-Kernaussage vollständig enthalten.","Alle Aussagen (60 Minuten Gültigkeit, einmalige Nutzung, Vorgehen über „Passwort vergessen?“) sind wörtlich im Kontext belegt, keine Behauptung widerspricht der Quelle.",,0,,,0.002329,0.0,0.0,0.0006,2329,0,0,120,0.0498,2.144,2.194,1
2,veraltet,mensch,articles,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?","Nein: aktuell 6,99 USD/Monat oder 59 USD/Jahr, keine Testphase",preise-und-tarife.md,"Das stimmt nicht ganz. Die Informationen auf der Website sind veraltet.

Aktuell (Stand Juli 2026) kostet FocusFlow Pro:
- **6,99 USD pro Monat** oder
- **59 USD pro Jahr**

Eine kostenlose Testphase für Pro wird derzeit **nicht angeboten**. Du kannst die Free-Version aber unbegrenzt nutzen und jederzeit zu Pro upgraden.

Quellen: preise-und-tarife.md",preise-und-tarife.md,pro-funktionen-und-preise.md; preise-und-tarife.md; doppelte-abbuchung.md,1,1,1,,"Die Antwort enthält die korrekte Hauptaussage: 6,99 USD/Monat bzw. 59 USD/Jahr und keine Testphase, was der Soll-Kernaussage entspricht.","Alle Zahlen und die Aussage zur fehlenden Testphase sind wörtlich aus der aktuelleren Quelle preise-und-tarife.md gedeckt, auch der Hinweis auf Free-Version und Upgrade ist dort enthalten.",,0,,,0.002328,0.0,0.0,0.000615,2328,0,0,123,0.0852,2.004,2.089,1
3,veraltet,mensch,articles,Gibt es eine Testphase für Pro,"Nein, eine Testphase wird nicht mehr angeboten, andere Info ist veraltet",preise-und-tarife.md,"Die Informationen zur kostenlosen Testphase widersprechen sich in den verfügbaren Artikeln:

**Aktuelle Information (02.07.2026):** Eine kostenlose Testphase für Pro bieten wir derzeit nicht an. Du kannst die Free-Version aber unbegrenzt nutzen und jederzeit upgraden.

**Ältere Information (14.03.2024):** Beim ersten Abschluss von Pro erhältst du eine 7-tägige kostenlose Testphase.

Die aktuelle Regelung ist, dass es keine Testphase gibt.

Quellen: preise-und-tarife.md; pro-funktionen-und-preise.md",preise-und-tarife.md; pro-funktionen-und-preise.md,pro-funktionen-und-preise.md; preise-und-tarife.md; roadmap-faq.md,1,1,1,,"Die Antwort nennt klar, dass aktuell keine Testphase angeboten wird und erklärt, dass die 7-tägige Testphase aus einer älteren Quelle stammt und veraltet ist – das trifft die Kernaussage genau.","Alle Aussagen (keine Testphase laut neuerer Quelle, ältere 7-tägige Testphase, unbegrenzte Nutzung der Free-Version) sind wörtlich aus dem Kontext übernommen, keine widersprüchlichen oder erfundenen Behauptungen.",,1,1,"Die Antwort kennzeichnet die alte Angabe ausdrücklich als älter und nennt die aktuelle, relevante Information (keine Testphase mehr), womit beide Kriterien erfüllt sind.",0.002342,0.0,0.0,0.00087,2342,0,0,174,0.1011,2.4,2.501,1
4,einfach,mensch,articles,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,"Nein, nur Google und E-Mail/Passwort werden unterstützt",anmelden-mit-google.md,"Nein, FocusFlow unterstützt derzeit keine Apple-Anmeldung. Die verfügbaren Anmeldemethoden sind:

- E-Mail und Passwort
- Mit Google anmelden

Quellen: anmelden-mit-google.md",anmelden-mit-google.md,anmelden-mit-google.md; roadmap-faq.md; verdaechtige-anmeldungen.md,1,1,1,,"Die Antwort sagt klar, dass Apple-Login nicht unterstützt wird, und nennt die beiden unterstützten Methoden E-Mail/Passwort und Google – das entspricht genau der Soll-Kernaussage.",Alle Aussagen sind direkt durch den Kontext gedeckt: Der Artikel nennt explizit nur E-Mail/Passwort und Google-Anmeldung und schließt andere Dienste aus.,,0,,,0.00243,0.0,0.0,0.00035,2430,0,0,70,0.1052,1.503,1.609,1
5,einfach,mensch_korrigiert,articles,Wieviele Habits kann ich in der Pro Version tracken,Unbeschränkt viele,habits-anlegen.md; preise-und-tarife.md,"In der Pro-Version kannst du **unbegrenzt viele Habits** anlegen und tracken. Es gibt keine Obergrenze.

In der kostenlosen Version sind es dagegen maximal 3 aktive Habits gleichzeitig.

Quellen: pro-funktionen-und-preise.md; habits-anlegen.md",pro-funktionen-und-preise.md; habits-anlegen.md,habits-anlegen.md; streaks.md; pro-funktionen-und-preise.md,1,1,1,,"Die Antwort gibt korrekt die Kernaussage wieder, dass mit Pro unbegrenzt viele Habits möglich sind.","Alle Aussagen (unbegrenzte Habits mit Pro, 3 aktive Habits in der Free-Version) sind wörtlich durch den Kontext gedeckt.",,1,0,"Die Antwort zitiert die veraltete Seite, ohne sie als veraltet zu kennzeichnen, und nennt keine aktuellen Werte aus der 2026-Seite. Da die inhaltliche Aussage (unbegrenzte Habits, 3 in Free) aber in beiden Versionen identisch ist, bleibt sie zwar sachlich korrekt, erfüllt aber nicht die geforderte Kennzeichnung als veraltet.",0.002273,0.0,0.0,0.000415,2273,0,0,83,0.0836,1.456,1.54,1
6,einfach,mensch,articles,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version","Korrekt: Free läuft fest mit 25/5/15 Minuten, einstellbar (5–90 Min.) nur mit Pro",fokus-timer.md,"Das ist korrekt. In der Free-Version läuft der Fokus-Timer mit festen Standardzeiten: 25 Minuten Fokus, 5 Minuten Pause und 15 Minuten lange Pause nach vier Runden. Diese Zeiten lassen sich nicht anpassen.

Um den Timer individuell einzustellen, brauchst du FocusFlow Pro. Mit Pro kannst du Fokus- und Pausenzeiten frei zwischen 5 und 90 Minuten einstellen. Pro kostet 6,99 USD pro Monat oder 59 USD pro Jahr.

Quellen: fokus-timer.md; preise-und-tarife.md",fokus-timer.md; preise-und-tarife.md,preise-und-tarife.md; fokus-timer.md; pro-funktionen-und-preise.md,1,1,1,,"Die Antwort enthält die Kernaussage vollständig: Free läuft fest mit 25/5/15 Minuten, Anpassung nur mit Pro zwischen 5 und 90 Minuten möglich, ohne Widerspruch.","Alle Aussagen (Standardzeiten 25/5/15, feste Zeiten in Free, Pro erlaubt 5-90 Minuten, Preise 6,99 USD/Monat bzw. 59 USD/Jahr) sind wörtlich durch die aktuelleren Quellen fokus-timer.md und preise-und-tarife.md gedeckt.",,0,,,0.002317,0.0,0.0,0.00086,2317,0,0,172,0.1071,3.561,3.668,1
7,luecke,mensch_korrigiert,articles,Gibt es Mengenrabatte,"Dazu gibt es keine Information, Verweis an den Support",keine,"Der Kontext beantwortet deine Frage zu Mengenrabatten nicht. Bitte wende dich an den Support in der App unter Einstellungen > Hilfe > Kontakt.

Quellen: keine",keine,tarif-wechseln.md; roadmap-faq.md; erstattungen.md,1,,1,1,,"Die einzige inhaltliche Aussage ist der Hinweis, dass keine Information vorliegt, plus der stets gedeckte Support-Verweis; nichts widerspricht dem Kontext.","Die Antwort verweist korrekt darauf, dass zu Mengenrabatten keine Information vorliegt, verweist an den Support und liefert keine inhaltliche Antwort oder Vermutung.",0,,,0.002471,0.0,0.0,0.00029,2471,0,0,58,0.0223,1.357,1.38,1
8,luecke,mensch_korrigiert,articles,Kann ich Daten aus anderen Apps importieren,"Dazu gibt es keine Information, Verweis an den Support",keine,"Der Kontext beantwortet deine Frage nicht. Es gibt keine Informationen zum Import von Daten aus anderen Apps.

Kontaktiere den Support über die App unter Einstellungen > Hilfe > Kontakt – dort können dir die Mitarbeitenden weiterhelfen.

Quellen: keine",keine,datenschutz-und-speicherort.md; synchronisierung.md; roadmap-faq.md,1,,1,1,,"Die Aussage, dass der Kontext keine Information zum Import bietet, ist zutreffend, und der Support-Verweis gilt als vorgegeben und somit gedeckt.","Die Antwort erkennt korrekt, dass die Frage nicht beantwortet werden kann, verweist auf den Support und gibt keine inhaltliche Antwort oder Vermutung ab.",0,,,0.00242,0.0,0.0,0.00039,2420,0,0,78,0.1026,1.472,1.574,1
9,einfach,mensch_korrigiert,articles,Wie kann ich 2FA einrichten,"Geht derzeit nicht, eigene 2FA ist geplant; wer sich mit Google anmeldet, ist über die 2FA des Google-Kontos geschützt",roadmap-faq.md; verdaechtige-anmeldungen.md,"FocusFlow bietet derzeit **keine eigene Zwei-Faktor-Authentifizierung** an.

Wenn du dich mit Google anmeldest, schützt die Zwei-Faktor-Authentifizierung deines Google-Kontos automatisch auch den Zugang zu FocusFlow – du kannst 2FA dort in deinen Google-Kontoeinstellungen aktivieren.

Für Konten mit E-Mail und Passwort ist eine Zwei-Faktor-Authentifizierung geplant, aber noch nicht verfügbar. Bis dahin empfehlen wir ein langes, einzigartiges Passwort.

Quellen: roadmap-faq.md; verdaechtige-anmeldungen.md",roadmap-faq.md; verdaechtige-anmeldungen.md,konten-zusammenfuehren.md; roadmap-faq.md; verdaechtige-anmeldungen.md,1,1,1,,"Die Antwort enthält alle Kernpunkte: aktuell keine eigene 2FA, geplant für E-Mail/Passwort-Konten, und Google-2FA schützt den Zugang mit.","Alle Aussagen sind durch die Quellen gedeckt; lediglich der Hinweis, 2FA 'dort in deinen Google-Kontoeinstellungen zu aktivieren' ist eine plausible, aber nicht explizit im Kontext genannte Ergänzung, bleibt jedoch als direkte logische Folgerung nahe am Text.",,0,,,0.002434,0.0,0.0,0.00094,2434,0,0,188,0.0805,2.54,2.621,1
10,mehrquellen,mensch_korrigiert,articles,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben","Kündigen: Pro läuft bis Ende des bezahlten Zeitraums, keine weitere Abbuchung. Geld zurück nur beim Jahresabo innerhalb von 14 Tagen (dann endet Pro sofort); Monatsabo wird nie erstattet",abo-kuendigen.md; erstattungen.md,"Du kannst dein Pro-Abo kündigen – es läuft dann bis zum Ende des bereits bezahlten Zeitraums weiter, bevor dein Konto auf Free umgestellt wird.

Ob du für die restlichen 7 Tage Geld zurückbekommst, hängt davon ab, welchen Abotyp du hast:

- **Jahresabo:** Du kannst innerhalb von 14 Tagen ab Kauf eine vollständige Erstattung beantragen. Da du noch innerhalb dieser Frist bist, hast du diese Möglichkeit.
- **Monatsabo:** Bereits begonnene Monate werden nicht erstattet, auch nicht anteilig.

Für eine Erstattung bei einem Web-Abo gehe zu **Einstellungen > Hilfe > Kontakt > „Erstattung anfragen""** und gib deine E-Mail-Adresse und das Kaufdatum an. Bei Abos über App Store oder Google Play musst du die Erstattung direkt bei Apple oder Google beantragen.

Quellen: abo-kuendigen.md;erstattungen.md",abo-kuendigen.md; erstattungen.md,abo-kuendigen.md; tarif-wechseln.md; erstattungen.md,1,1,0,,"Die Antwort nennt korrekt, dass Pro nach Kündigung bis Ende des bezahlten Zeitraums läuft, dass beim Jahresabo innerhalb 14 Tagen volle Erstattung möglich ist und beim Monatsabo keine Erstattung erfolgt – die Kernaussage ist damit im Wesentlichen vermittelt, auch wenn der Zusatz 'Pro endet sofort' fehlt.","Die Aussage 'Da du noch innerhalb dieser Frist bist, hast du diese Möglichkeit' ist eine unbegründete Vermutung, da der Kontext keine Information darüber enthält, ob der Nutzer ein Jahresabo hat oder wann der Kauf/Zeitraum begann – dies ist eine nicht gedeckte Schlussfolgerung über den Einzelfall.",,0,,,0.002426,0.0,0.0,0.00143,2426,0,0,286,0.1201,3.587,3.707,0
