id,typ,herkunft,variante,frage,kernaussage,erwartete_quellen,antwort,zitiert,kontext_dateien,quellen_ok,kernaussage_ok,treu,luecke_ok,kernaussage_begruendung,treu_begruendung,luecke_begruendung,zitiert_veraltet,veraltet_gekennzeichnet,veraltet_begruendung,kosten_in_usd,kosten_cache_write_usd,kosten_cache_read_usd,kosten_out_usd,input_tokens,cache_write_tokens,cache_read_tokens,output_tokens,retrieval_s,llm_s,gesamt_s,alles_ok
1,einfach,mensch,sections,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?","Link ist 60 Minuten gültig, nur einmal nutzbar; neuen Link anfordern",passwort-zuruecksetzen.md,"Der Link zum Zurücksetzen deines Passworts ist **60 Minuten** gültig. Da du ihn erst abends geöffnet hast, ist er leider abgelaufen.

Kein Problem – fordere einfach einen neuen Link an:

1. Gehe auf dem Anmeldebildschirm auf **„Passwort vergessen?""**
2. Gib deine E-Mail-Adresse ein
3. Du bekommst einen neuen Link, der wieder 60 Minuten gültig ist

**Tipp:** Fordere den Link nicht mehrfach an – nur der zuletzt gesendete ist gültig. Und schau auch in deinen Spam-Ordner, falls die E-Mail dort landet.

Quellen: passwort-zuruecksetzen.md",passwort-zuruecksetzen.md,passwort-zuruecksetzen.md; anmelden-mit-google.md,1,1,1,,"Die Antwort enthält die Kernaussage vollständig: 60 Minuten Gültigkeit, nur einmal nutzbar (implizit durch 'neuer Link nötig') und den Hinweis, einen neuen Link anzufordern.","Alle Aussagen (60 Minuten Gültigkeit, Schritte zum Anfordern eines neuen Links, Hinweis auf Spam-Ordner und nicht mehrfach anfordern) sind direkt durch den Kontext gedeckt.",,0,,,0.000978,0.0,0.0,0.001025,978,0,0,205,0.0484,2.407,2.455,1
2,veraltet,mensch,sections,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?","Nein: aktuell 6,99 USD/Monat oder 59 USD/Jahr, keine Testphase",preise-und-tarife.md,"Da gibt es tatsächlich einen Widerspruch in unseren Informationen – entschuldige das!

Nach unserem **aktuellsten Stand** (Juli 2026) kostet Pro **6,99 USD pro Monat** (oder 59 USD pro Jahr). Eine **kostenlose Testphase bieten wir derzeit nicht an**.

Die älteren Informationen mit 4,99 USD und der 7-Tage-Testphase sind überholt.

Du kannst die kostenlose Free-Version aber unbegrenzt nutzen und jederzeit upgraden, wenn du Pro ausprobieren möchtest.

Quellen: preise-und-tarife.md",preise-und-tarife.md,pro-funktionen-und-preise.md; preise-und-tarife.md,1,1,1,,"Die Antwort nennt korrekt 6,99 USD/Monat bzw. 59 USD/Jahr und stellt klar, dass es aktuell keine Testphase gibt – das entspricht genau der Soll-Kernaussage.","Alle Zahlen und Aussagen stammen direkt aus der aktuelleren Quelle (preise-und-tarife.md), und die Einordnung der 4,99-USD-Angabe als veraltet ist eine zulässige, logisch zwingende Folgerung aus den unterschiedlichen Aktualisierungsdaten der beiden Quellen.",,0,,,0.001108,0.0,0.0,0.000845,1108,0,0,169,0.0869,2.447,2.534,1
3,veraltet,mensch,sections,Gibt es eine Testphase für Pro,"Nein, eine Testphase wird nicht mehr angeboten, andere Info ist veraltet",preise-und-tarife.md,"Das ist eine gute Frage – hier gibt es zwei unterschiedliche Informationen in unseren Artikeln:

Der **neuere Artikel** (aktualisiert am 02.07.2026) sagt: Es gibt derzeit **keine kostenlose Testphase für Pro**. Du kannst aber die Free-Version unbegrenzt nutzen und jederzeit upgraden.

Der ältere Artikel erwähnt noch eine 7-tägige Testphase beim ersten Pro-Abschluss – das scheint aber nicht mehr aktuell zu sein.

Wenn du Fragen dazu hast oder die aktuelle Situation klären möchtest, kontaktiere gerne unseren Support in der App unter **Einstellungen > Hilfe > Kontakt**.

Quellen: preise-und-tarife.md; pro-funktionen-und-preise.md",preise-und-tarife.md; pro-funktionen-und-preise.md,pro-funktionen-und-preise.md; preise-und-tarife.md; roadmap-faq.md,1,1,1,,"Die Antwort nennt klar die Hauptaussage, dass es aktuell keine Testphase gibt, und ordnet die ältere Info korrekt als veraltet ein.","Alle Aussagen sind durch den Kontext gedeckt: das Datum, der Inhalt beider Quellen sowie die Einordnung als neuer/älter basierend auf den Aktualisierungsdaten sind logisch korrekt abgeleitet.",,1,1,"Die Antwort kennzeichnet die alte Testphasen-Angabe explizit als 'nicht mehr aktuell' und nennt die aktuelle Information von 2026, dass es derzeit keine Testphase gibt. Beide Bedingungen sind somit erfüllt.",0.001051,0.0,0.0,0.001055,1051,0,0,211,0.1036,2.57,2.674,1
4,einfach,mensch,sections,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,"Nein, nur Google und E-Mail/Passwort werden unterstützt",anmelden-mit-google.md,"Das kann ich dir leider nicht beantworten – der Kontext enthält keine Informationen zu Apple Login.

Ich sehe, dass FocusFlow die Anmeldung mit Google und E-Mail/Passwort unterstützt, aber ob Apple Login verfügbar ist, weiß ich nicht.

Bitte wende dich an den Support in der App (Einstellungen > Hilfe > Kontakt) – die können dir das genau sagen!

Quellen: keine",keine,anmelden-mit-google.md; passwort-zuruecksetzen.md; konten-zusammenfuehren.md; roadmap-faq.md,0,0,1,,"Die Antwort verneint nicht klar, dass Apple Login möglich ist, sondern lässt es offen ('weiß ich nicht, ob Apple Login verfügbar ist'), wodurch die geforderte klare Nein-Aussage fehlt.","Die Aussage, dass Google- und E-Mail/Passwort-Anmeldung unterstützt werden, ist durch die Quellen (anmelden-mit-google.md, konten-zusammenfuehren.md) gedeckt, und der Support-Verweis gilt als immer zulässig; es werden keine ungedeckten Behauptungen aufgestellt.",,0,,,0.00087,0.0,0.0,0.000605,870,0,0,121,0.1117,1.962,2.073,0
5,einfach,mensch_korrigiert,sections,Wieviele Habits kann ich in der Pro Version tracken,Unbeschränkt viele,habits-anlegen.md; preise-und-tarife.md,"In der **Pro-Version** kannst du **unbegrenzt viele Habits** tracken – es gibt keine Obergrenze! 🎯

Das ist einer der großen Vorteile von Pro gegenüber der kostenlosen Version, in der du maximal 3 aktive Habits gleichzeitig haben kannst.

Quellen: pro-funktionen-und-preise.md; habits-anlegen.md",pro-funktionen-und-preise.md; habits-anlegen.md,habits-anlegen.md; pro-funktionen-und-preise.md; abo-kuendigen.md; widgets.md,1,1,1,,"Die Antwort gibt korrekt wieder, dass mit Pro unbegrenzt viele Habits getrackt werden können, was genau der Soll-Kernaussage entspricht.","Alle Aussagen (unbegrenzte Habits mit Pro, max. 3 aktive Habits in der Free-Version) sind wörtlich durch den Kontext gedeckt.",,1,0,"Die Antwort kennzeichnet die Angabe nicht als veraltet und stellt sie unkommentiert als gültig dar, obwohl sie aus der alten Seite stammt (auch wenn dieser konkrete Punkt inhaltlich mit der aktuellen Seite übereinstimmt, fehlt jede Kennzeichnung). Zudem werden keine aktuellen Werte explizit unter Verweis auf die 2026er-Seite genannt.",0.0011,0.0,0.0,0.00052,1100,0,0,104,0.092,1.599,1.691,1
6,einfach,mensch,sections,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version","Korrekt: Free läuft fest mit 25/5/15 Minuten, einstellbar (5–90 Min.) nur mit Pro",fokus-timer.md,"Das ist völlig normal! 😊 In der **Free-Version** ist der Fokus-Timer auf die Standardzeiten festgelegt: **25 Minuten Fokus, 5 Minuten Pause und 15 Minuten längere Pause**. Diese lassen sich nicht anpassen.

Wenn du die Zeiten individuell einstellen möchtest, brauchst du **FocusFlow Pro**. Mit Pro kannst du Fokus- und Pausenzeiten flexibel zwischen 5 und 90 Minuten wählen – ganz nach deinen Bedürfnissen.

Quellen: preise-und-tarife.md;fokus-timer.md",preise-und-tarife.md; fokus-timer.md,preise-und-tarife.md; fokus-timer.md; widgets.md; pro-funktionen-und-preise.md,1,1,1,,"Die Antwort enthält die Kernaussage vollständig: Free läuft fest mit 25/5/15 Minuten, Pro erlaubt Einstellung zwischen 5 und 90 Minuten.","Alle Angaben (25/5/15 Min. bei Free, 5–90 Min. einstellbar bei Pro) sind wörtlich durch fokus-timer.md gedeckt; keine widersprüchlichen oder unbelegten Zusatzbehauptungen.",,0,,,0.001018,0.0,0.0,0.00086,1018,0,0,172,0.1099,1.987,2.097,1
7,luecke,mensch_korrigiert,sections,Gibt es Mengenrabatte,"Dazu gibt es keine Information, Verweis an den Support",keine,"Deine Frage zu Mengenrabatten kann ich anhand der verfügbaren Hilfeartikel leider nicht beantworten. 

Bitte wende dich direkt an unseren Support – du findest ihn in der App unter **Einstellungen > Hilfe > Kontakt**. Das Team kann dir dort gerne weiterhelfen!

Quellen: keine",keine,pro-funktionen-und-preise.md; tarif-wechseln.md; erstattungen.md,1,,1,1,,"Die Antwort macht keine inhaltlichen Behauptungen außer dem vorgegebenen Support-Verweis, der immer als gedeckt gilt.","Die Antwort erklärt korrekt, dass zu Mengenrabatten keine Information vorliegt, verweist an den Support und gibt keine inhaltliche Antwort oder Vermutung.",0,,,0.00112,0.0,0.0,0.000485,1120,0,0,97,0.0213,1.735,1.757,1
8,luecke,mensch_korrigiert,sections,Kann ich Daten aus anderen Apps importieren,"Dazu gibt es keine Information, Verweis an den Support",keine,"Das kann ich dir leider nicht beantworten – der Kontext enthält keine Informationen zum Importieren von Daten aus anderen Apps.

Für diese Frage empfehle ich dir, den Support zu kontaktieren. Du findest ihn in der App unter **Einstellungen > Hilfe > Kontakt**.

Quellen: keine",keine,konto-loeschen.md; roadmap-faq.md; synchronisierung.md; datenschutz-und-speicherort.md,1,,1,1,,"Die einzige inhaltliche Aussage ist der vorgegebene Support-Verweis, der immer als gedeckt gilt; es werden keine ungestützten Behauptungen gemacht.","Die Antwort erklärt korrekt, dass zum Import von Daten aus anderen Apps keine Information im Kontext vorliegt, gibt keine inhaltliche Teilantwort oder Vermutung und verweist auf den Support.",0,,,0.000811,0.0,0.0,0.000435,811,0,0,87,0.1107,1.504,1.615,1
9,einfach,mensch_korrigiert,sections,Wie kann ich 2FA einrichten,"Geht derzeit nicht, eigene 2FA ist geplant; wer sich mit Google anmeldet, ist über die 2FA des Google-Kontos geschützt",roadmap-faq.md; verdaechtige-anmeldungen.md,"Gute Frage! Hier ist der aktuelle Stand:

**FocusFlow bietet derzeit noch keine eigene Zwei-Faktor-Authentifizierung (2FA)** für Konten mit E-Mail und Passwort. Das Feature ist aber geplant.

**Bis dahin hast du diese Optionen:**

1. **Mit Google anmelden**: Wenn du dich über Google anmeldest, schützt die 2FA deines Google-Kontos automatisch auch deinen FocusFlow-Zugang.
2. **Starkes Passwort**: Nutze ein langes, einzigartiges Passwort für dein FocusFlow-Konto.

Sobald die native 2FA verfügbar ist, werden wir dich informieren!

Quellen: verdaechtige-anmeldungen.md; roadmap-faq.md",verdaechtige-anmeldungen.md; roadmap-faq.md,verdaechtige-anmeldungen.md; passwort-zuruecksetzen.md; roadmap-faq.md; doppelte-abbuchung.md,1,1,0,,"Die Antwort enthält die Kernaussage vollständig: 2FA ist aktuell nicht verfügbar, aber geplant, und bei Google-Anmeldung schützt die Google-2FA den Zugang.","Die meisten Aussagen sind durch den Kontext gedeckt, aber der Satz 'Sobald die native 2FA verfügbar ist, werden wir dich informieren!' ist eine zusätzliche Behauptung, die in keinem der Artikel steht.",,0,,,0.000929,0.0,0.0,0.001105,929,0,0,221,0.0881,2.597,2.685,0
10,mehrquellen,mensch_korrigiert,sections,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben","Kündigen: Pro läuft bis Ende des bezahlten Zeitraums, keine weitere Abbuchung. Geld zurück nur beim Jahresabo innerhalb von 14 Tagen (dann endet Pro sofort); Monatsabo wird nie erstattet",abo-kuendigen.md; erstattungen.md,"Du hast während der 7-tägigen kostenlosen Testphase von Pro nichts bezahlt – es gibt also kein Restguthaben. 

Wenn du **während der Testphase kündigst**, wird dir nichts berechnet und dein Konto wird danach auf Free umgestellt.

Falls du die Testphase bereits abgelaufen ist und bereits bezahlt hast: Dann läuft dein Pro-Zugang bis zum Ende des bezahlten Zeitraums weiter. Eine Rückerstattung für die verbleibende Zeit ist in den Richtlinien nicht vorgesehen – dein Zugang endet einfach nach Ablauf des Zeitraums.

Deine Daten bleiben in jedem Fall erhalten. Wenn du mehr als 3 aktive Habits hast, werden die übrigen archiviert.

Quellen: pro-funktionen-und-preise.md; abo-kuendigen.md",pro-funktionen-und-preise.md; abo-kuendigen.md,erstattungen.md; pro-funktionen-und-preise.md; abo-kuendigen.md; konto-loeschen.md,0,0,0,,"Die Antwort nennt korrekt, dass Pro bis zum Ende des bezahlten Zeitraums weiterläuft und keine weitere Abbuchung erfolgt, verallgemeinert aber pauschal, dass keine Rückerstattung vorgesehen sei, ohne die im Soll geforderte Unterscheidung zwischen Jahres- und Monatsabo bzw. die 14-Tage-Frist zu erwähnen – die zentrale Erstattungslogik fehlt somit.","Die Aussage 'Eine Rückerstattung für die verbleibende Zeit ist in den Richtlinien nicht vorgesehen' steht so nicht im Kontext und ist keine zwingende Folgerung aus den gegebenen Quellen, da diese keine generelle Aussage zu Rückerstattungen bei Kündigung treffen.",,1,0,"Die Antwort übernimmt die veraltete Angabe zur 7-tägigen Testphase unkommentiert als aktuell gültig, obwohl die 2026er-Seite ausdrücklich sagt, dass es derzeit keine Testphase gibt; die veraltete Info wird nicht als überholt gekennzeichnet und der aktuelle Stand wird nicht genannt.",0.001263,0.0,0.0,0.00119,1263,0,0,238,0.0845,3.085,3.17,0
