id,typ,herkunft,frage,modell,variante,rang,chunk_id,datei,score,erwartet
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,sections,1,passwort-zuruecksetzen.md#2,passwort-zuruecksetzen.md,0.8677,1
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,sections,2,passwort-zuruecksetzen.md#0,passwort-zuruecksetzen.md,0.8577,1
1,einfach,mensch,"hab die passwort mail bekommen aber erst abends reingeschaut, link geht nicht mehr. wie lange ist der eigentlich gültig?",e5-base,sections,3,passwort-zuruecksetzen.md#1,passwort-zuruecksetzen.md,0.8534,1
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,sections,1,pro-funktionen-und-preise.md#3,pro-funktionen-und-preise.md,0.886,0
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,sections,2,preise-und-tarife.md#2,preise-und-tarife.md,0.8617,1
2,veraltet,mensch,"auf eurer seite steht pro kostet 4,99 im monat und man kann 7 tage kostenlos testen. stimmt das so?",e5-base,sections,3,streaks.md#3,streaks.md,0.8485,0
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,sections,1,pro-funktionen-und-preise.md#3,pro-funktionen-und-preise.md,0.8971,0
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,sections,2,preise-und-tarife.md#2,preise-und-tarife.md,0.8583,1
3,veraltet,mensch,Gibt es eine Testphase für Pro,e5-base,sections,3,pro-funktionen-und-preise.md#1,pro-funktionen-und-preise.md,0.8498,0
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,sections,1,passwort-zuruecksetzen.md#1,passwort-zuruecksetzen.md,0.8565,0
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,sections,2,verdaechtige-anmeldungen.md#1,verdaechtige-anmeldungen.md,0.8492,0
4,einfach,mensch,Kann ich mich mit Apple Login einloggen bzw einen Account erstellen,e5-base,sections,3,passwort-zuruecksetzen.md#3,passwort-zuruecksetzen.md,0.8461,0
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,sections,1,habits-anlegen.md#2,habits-anlegen.md,0.8835,1
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,sections,2,pro-funktionen-und-preise.md#1,pro-funktionen-und-preise.md,0.8668,0
5,einfach,mensch_korrigiert,Wieviele Habits kann ich in der Pro Version tracken,e5-base,sections,3,fokus-timer.md#5,fokus-timer.md,0.8503,0
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,sections,1,preise-und-tarife.md#1,preise-und-tarife.md,0.8868,0
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,sections,2,fokus-timer.md#2,fokus-timer.md,0.8656,1
6,einfach,mensch,"Der Fokustimer lässt sich nicht verstellen, ich nutze die Free version",e5-base,sections,3,preise-und-tarife.md#2,preise-und-tarife.md,0.8623,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,sections,1,erstattungen.md#2,erstattungen.md,0.8091,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,sections,2,doppelte-abbuchung.md#0,doppelte-abbuchung.md,0.7992,0
7,luecke,mensch_korrigiert,Gibt es Mengenrabatte,e5-base,sections,3,tarif-wechseln.md#1,tarif-wechseln.md,0.7984,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,sections,1,konto-loeschen.md#4,konto-loeschen.md,0.8435,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,sections,2,synchronisierung.md#3,synchronisierung.md,0.8374,0
8,luecke,mensch_korrigiert,Kann ich Daten aus anderen Apps importieren,e5-base,sections,3,datenschutz-und-speicherort.md#2,datenschutz-und-speicherort.md,0.8326,0
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,sections,1,konten-zusammenfuehren.md#3,konten-zusammenfuehren.md,0.8452,0
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,sections,2,verdaechtige-anmeldungen.md#3,verdaechtige-anmeldungen.md,0.8287,1
9,einfach,mensch_korrigiert,Wie kann ich 2FA einrichten,e5-base,sections,3,verdaechtige-anmeldungen.md#1,verdaechtige-anmeldungen.md,0.8282,1
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,sections,1,tarif-wechseln.md#1,tarif-wechseln.md,0.8532,0
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,sections,2,pro-funktionen-und-preise.md#3,pro-funktionen-und-preise.md,0.8512,0
10,mehrquellen,mensch_korrigiert,"Ich will den Tarif wieder von Pro zu Free wechseln und hab Pro 7 Tage ausprobiert, was passiert mit Restguthaben",e5-base,sections,3,abo-kuendigen.md#1,abo-kuendigen.md,0.8502,1
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,sections,1,passwort-zuruecksetzen.md#2,passwort-zuruecksetzen.md,0.8702,1
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,sections,2,verdaechtige-anmeldungen.md#1,verdaechtige-anmeldungen.md,0.8669,0
11,einfach,entwurf,Ich kann seit 3 Tagen den Tracker nicht nutzen weil der passwort reset mir keine email schickt.,e5-base,sections,3,passwort-zuruecksetzen.md#1,passwort-zuruecksetzen.md,0.8656,1
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,sections,1,anmelden-mit-google.md#2,anmelden-mit-google.md,0.8855,1
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,sections,2,verdaechtige-anmeldungen.md#1,verdaechtige-anmeldungen.md,0.8694,0
12,einfach,entwurf,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",e5-base,sections,3,konten-zusammenfuehren.md#0,konten-zusammenfuehren.md,0.869,0
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,sections,1,erstattungen.md#3,erstattungen.md,0.8558,1
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,sections,2,doppelte-abbuchung.md#1,doppelte-abbuchung.md,0.8542,1
13,einfach,entwurf,"doppelt abgebucht diesen monat!! 6,99 zweimal. bitte sofort erstatten",e5-base,sections,3,doppelte-abbuchung.md#2,doppelte-abbuchung.md,0.8537,1
